VID,Year,Make,Model,Trim,VIN,Value
28469A,10,DODGE,DAKOTA,4WD 4.7L BIGHOR,1D7JW3BP-A,16550
28457A,10,DODGE,DAKOTA,4WD 3.7L BIGHOR,1D7JW3GK-A,18200
28458A,10,DODGE,DAKOTA,4WD 4.7L BIGHOR,1D7JW3GP-A,18200
25908A,10,DODGE,DAKOTA,LARAMIE,1D7JW5GK-A,19725
25909A,10,DODGE,DAKOTA,LARAMIE,1D7JW5GP-A,20150
25914A,10,DODGE,DAKOTA,TRX,1D7JW7GK-A,19025
25915A,10,DODGE,DAKOTA,TRX,1D7JW7GP-A,19450
25886A,10,DODGE,DAKOTA,ST,1D7RE2BK-A,12450
25887A,10,DODGE,DAKOTA,ST,1D7RE2BP-A,12725
25898A,10,DODGE,DAKOTA,ST,1D7RE2GK-A,13875
25899A,10,DODGE,DAKOTA,ST,1D7RE2GP-A,14175
28464A,10,DODGE,DAKOTA,2WD 3.7L BIGHOR,1D7RE3BK-A,14075
28465A,10,DODGE,DAKOTA,2WD 4.7L BIGHOR,1D7RE3BP-A,14400
28276A,10,DODGE,DAKOTA,2WD 3.7L BIGHOR,1D7RE3GK-A,15825
28455A,10,DODGE,DAKOTA,2WD 4.7L BIGHOR,1D7RE3GP-A,16175
25904A,10,DODGE,DAKOTA,LARAMIE,1D7RE5GK-A,17050
25905A,10,DODGE,DAKOTA,LARAMIE,1D7RE5GP-A,17450
25892A,10,DODGE,DAKOTA,ST,1D7RW2BK-A,14450
25893A,10,DODGE,DAKOTA,ST,1D7RW2BP-A,14750
25922A,10,DODGE,DAKOTA,ST,1D7RW2GK-A,16075
25923A,10,DODGE,DAKOTA,ST,1D7RW2GP-A,16425
28470A,10,DODGE,DAKOTA,4WD 3.7L BIGHOR,1D7RW3BK-A,16200
28471A,10,DODGE,DAKOTA,4WD 4.7L BIGHOR,1D7RW3BP-A,16550
28459A,10,DODGE,DAKOTA,4WD 3.7L BIGHOR,1D7RW3GK-A,18200
28460A,10,DODGE,DAKOTA,4WD 4.7L BIGHOR,1D7RW3GP-A,18575
25910A,10,DODGE,DAKOTA,LARAMIE,1D7RW5GK-A,19725
25911A,10,DODGE,DAKOTA,LARAMIE,1D7RW5GP-A,20150
25916A,10,DODGE,DAKOTA,TRX,1D7RW7GK-A,19025
25917A,10,DODGE,DAKOTA,TRX,1D7RW7GP-A,19450
166619,09,DODGE,DAKOTA,EXT 2WD 3.7L,1D3HE22K-9,11025
166629,09,DODGE,DAKOTA,EXT 2WD 4.7L,1D3HE22P-9,11250
166699,09,DODGE,DAKOTA,CREW 2WD 3.7L,1D3HE28K-9,12525
166709,09,DODGE,DAKOTA,CREW 2WD 4.7L,1D3HE28P-9,12775
167099,09,DODGE,DAKOTA,SXT EXT 2WD 3.7,1D3HE32K-9,12575
167109,09,DODGE,DAKOTA,SXT EXT 2WD 4.7,1D3HE32P-9,12800
167019,09,DODGE,DAKOTA,SXT CREW 2WD 3.,1D3HE38K-9,14050
167029,09,DODGE,DAKOTA,SXT CREW 2WD 4.,1D3HE38P-9,14350
166779,09,DODGE,DAKOTA,LARAMIE EXT 2WD,1D3HE52K-9,14225
166789,09,DODGE,DAKOTA,LARAMIE EXT 2WD,1D3HE52P-9,14500
166859,09,DODGE,DAKOTA,LAR CREW 2WD 3.,1D3HE58K-9,15900
166869,09,DODGE,DAKOTA,LAR CREW 2WD 4.,1D3HE58P-9,16200
166659,09,DODGE,DAKOTA,EXT 4WD 3.7L,1D3HW22K-9,13175
166669,09,DODGE,DAKOTA,EXT 4WD 4.7L,1D3HW22P-9,13450
166739,09,DODGE,DAKOTA,CREW 4WD 3.7L,1D3HW28K-9,14775
166749,09,DODGE,DAKOTA,CREW 4WD 4.7L,1D3HW28P-9,15075
167129,09,DODGE,DAKOTA,SXT EXT 4WD 3.7,1D3HW32K-9,14725
167139,09,DODGE,DAKOTA,SXT EXT 4WD 4.7,1D3HW32P-9,15025
167059,09,DODGE,DAKOTA,SXT CREW 4WD 3.,1D3HW38K-9,16550
167069,09,DODGE,DAKOTA,SXT CREW 4WD 4.,1D3HW38P-9,16875
166819,09,DODGE,DAKOTA,LARAMIE EXT 4WD,1D3HW52K-9,16775
166829,09,DODGE,DAKOTA,LARAMIE EXT 4WD,1D3HW52P-9,17100
166899,09,DODGE,DAKOTA,LAR CREW 4WD 3.,1D3HW58K-9,18650
166909,09,DODGE,DAKOTA,LAR CREW 4WD 4.,1D3HW58P-9,19000
166939,09,DODGE,DAKOTA,TRX EXT 4WD 3.7,1D3HW72K-9,15600
166949,09,DODGE,DAKOTA,TRX EXT 4WD 4.7,1D3HW72P-9,15900
166979,09,DODGE,DAKOTA,TRX CREW 4WD 3.,1D3HW78K-9,17425
166989,09,DODGE,DAKOTA,TRX CREW 4WD 4.,1D3HW78P-9,17750
166639,09,DODGE,DAKOTA,EXT 2WD 3.7L,1D7HE22K-9,11025
166649,09,DODGE,DAKOTA,EXT 2WD 4.7L,1D7HE22P-9,11250
166719,09,DODGE,DAKOTA,CREW 2WD 3.7L,1D7HE28K-9,12525
166729,09,DODGE,DAKOTA,CREW 2WD 4.7L,1D7HE28P-9,12775
167119,09,DODGE,DAKOTA,SXT EXT 2WD 3.7,1D7HE32K-9,12575
167039,09,DODGE,DAKOTA,SXT CREW 2WD 3.,1D7HE38K-9,14050
167049,09,DODGE,DAKOTA,SXT CREW 2WD 4.,1D7HE38P-9,14350
166799,09,DODGE,DAKOTA,LARAMIE EXT 2WD,1D7HE52K-9,14225
166809,09,DODGE,DAKOTA,LARAMIE EXT 2WD,1D7HE52P-9,14500
166879,09,DODGE,DAKOTA,LAR CREW 2WD 3.,1D7HE58K-9,15900
166889,09,DODGE,DAKOTA,LAR CREW 2WD 4.,1D7HE58P-9,16200
166679,09,DODGE,DAKOTA,EXT 4WD 3.7L,1D7HW22K-9,13175
166689,09,DODGE,DAKOTA,EXT 4WD 4.7L,1D7HW22P-9,13450
166759,09,DODGE,DAKOTA,CREW 4WD 3.7L,1D7HW28K-9,14775
166769,09,DODGE,DAKOTA,CREW 4WD 4.7L,1D7HW28P-9,15075
167149,09,DODGE,DAKOTA,SXT EXT 4WD 3.7,1D7HW32K-9,14725
167159,09,DODGE,DAKOTA,SXT EXT 4WD 4.7,1D7HW32P-9,15025
167079,09,DODGE,DAKOTA,SXT CREW 4WD 3.,1D7HW38K-9,16550
167089,09,DODGE,DAKOTA,SXT CREW 4WD 4.,1D7HW38P-9,16875
166839,09,DODGE,DAKOTA,LARAMIE EXT 4WD,1D7HW52K-9,16775
166849,09,DODGE,DAKOTA,LARAMIE EXT 4WD,1D7HW52P-9,17100
166919,09,DODGE,DAKOTA,LAR CREW 4WD 3.,1D7HW58K-9,18650
166929,09,DODGE,DAKOTA,LAR CREW 4WD 4.,1D7HW58P-9,19000
166959,09,DODGE,DAKOTA,TRX EXT 4WD 3.7,1D7HW72K-9,15600
166969,09,DODGE,DAKOTA,TRX EXT 4WD 4.7,1D7HW72P-9,15900
166999,09,DODGE,DAKOTA,TRX CREW 4WD 3.,1D7HW78K-9,17425
167009,09,DODGE,DAKOTA,TRX CREW 4WD 4.,1D7HW78P-9,17750
179088,08,DODGE,DAKOTA,EXT 2WD 3.7L,1D3HE22K-8,9600
179098,08,DODGE,DAKOTA,EXT 2WD 4.7L,1D3HE22N-8,9775
179168,08,DODGE,DAKOTA,CREW 2WD 3.7L,1D3HE28K-8,11075
179178,08,DODGE,DAKOTA,CREW 2WD 4.7L,1D3HE28N-8,11250
194868,08,DODGE,DAKOTA,SXT EXT 2WD 3.7,1D3HE32K-8,10775
194878,08,DODGE,DAKOTA,SXT EXT 2WD 4.7,1D3HE32N-8,10950
183418,08,DODGE,DAKOTA,CREW 2WD 3.7L,1D3HE38K-8,12275
195018,08,DODGE,DAKOTA,SXT CREW 2WD 4.,1D3HE38N-8,12475
179248,08,DODGE,DAKOTA,SLT EXT 2WD 3.7,1D3HE42K-8,11075
179258,08,DODGE,DAKOTA,SLT EXT 2WD 4.7,1D3HE42N-8,11275
179328,08,DODGE,DAKOTA,SLT CREW 2WD 3.,1D3HE48K-8,12575
179338,08,DODGE,DAKOTA,SLT CREW 2WD 4.,1D3HE48N-8,12775
179408,08,DODGE,DAKOTA,LAR EXT 2WD 3.7,1D3HE52K-8,12350
179418,08,DODGE,DAKOTA,LAR EXT 2WD 4.7,1D3HE52N-8,12550
179488,08,DODGE,DAKOTA,LAR CREW 2WD 3.,1D3HE58K-8,13850
179498,08,DODGE,DAKOTA,LAR CREW 2WD 4.,1D3HE58N-8,14075
214498,08,DODGE,DAKOTA,SPORT,1D3HE62K-8,11225
214488,08,DODGE,DAKOTA,SPORT,1D3HE62N-8,11425
189438,08,DODGE,DAKOTA,CREW 2WD 3.7L S,1D3HE68K-8,12725
214548,08,DODGE,DAKOTA,SPORT,1D3HE68N-8,12925
194898,08,DODGE,DAKOTA,TRX EXT 2WD 3.7,1D3HE72K-8,11375
194908,08,DODGE,DAKOTA,TRX EXT 2WD 4.7,1D3HE72N-8,11550
195038,08,DODGE,DAKOTA,TRX CREW 2WD 3.,1D3HE78K-8,12850
195048,08,DODGE,DAKOTA,TRX CREW 2WD 4.,1D3HE78N-8,13075
179128,08,DODGE,DAKOTA,EXT 4WD 3.7L,1D3HW22K-8,11800
179138,08,DODGE,DAKOTA,EXT 4WD 4.7L,1D3HW22N-8,12000
179208,08,DODGE,DAKOTA,CREW 4WD 3.7L,1D3HW28K-8,13150
179218,08,DODGE,DAKOTA,CREW 4WD 4.7L,1D3HW28N-8,13550
194938,08,DODGE,DAKOTA,SXT EXT 4WD 3.7,1D3HW32K-8,12925
194948,08,DODGE,DAKOTA,SXT EXT 4WD 4.7,1D3HW32N-8,13150
195058,08,DODGE,DAKOTA,SXT CREW 4WD 3.,1D3HW38K-8,14650
195068,08,DODGE,DAKOTA,SXT CREW 4WD 4.,1D3HW38N-8,14975
179288,08,DODGE,DAKOTA,SLT EXT 4WD 3.7,1D3HW42K-8,13525
179298,08,DODGE,DAKOTA,SLT EXT 4WD 4.7,1D3HW42N-8,13750
179368,08,DODGE,DAKOTA,SLT CREW 4WD 3.,1D3HW48K-8,15325
179378,08,DODGE,DAKOTA,SLT CREW 4WD 4.,1D3HW48N-8,15550
179448,08,DODGE,DAKOTA,LAR EXT 4WD 3.7,1D3HW52K-8,14800
179458,08,DODGE,DAKOTA,LAR EXT 4WD 4.7,1D3HW52N-8,15050
179528,08,DODGE,DAKOTA,LAR CREW 4WD 3.,1D3HW58K-8,16625
179538,08,DODGE,DAKOTA,LAR CREW 4WD 4.,1D3HW58N-8,16875
214518,08,DODGE,DAKOTA,SPORT,1D3HW62K-8,13675
214508,08,DODGE,DAKOTA,SPORT,1D3HW62N-8,13900
214568,08,DODGE,DAKOTA,SPORT,1D3HW68K-8,15550
214558,08,DODGE,DAKOTA,SPORT,1D3HW68N-8,15800
194978,08,DODGE,DAKOTA,TRX EXT 4WD 3.7,1D3HW72K-8,13825
194988,08,DODGE,DAKOTA,TRX EXT 4WD 4.7,1D3HW72N-8,14050
195098,08,DODGE,DAKOTA,TRX CREW 4WD 3.,1D3HW78K-8,15675
195108,08,DODGE,DAKOTA,TRX CREW 4WD 4.,1D3HW78N-8,15900
179108,08,DODGE,DAKOTA,EXT 2WD 3.7L,1D7HE22K-8,9600
179118,08,DODGE,DAKOTA,EXT 2WD 4.7L,1D7HE22N-8,9775
179188,08,DODGE,DAKOTA,CREW 2WD 3.7L,1D7HE28K-8,11075
179198,08,DODGE,DAKOTA,CREW 2WD 4.7L,1D7HE28N-8,11250
186728,08,DODGE,DAKOTA,SXT EXT 2WD 3/7,1D7HE32K-8,10775
194888,08,DODGE,DAKOTA,SXT EXT 2WD 4.7,1D7HE32N-8,10950
186738,08,DODGE,DAKOTA,SXT CREW 2WD 3.,1D7HE38K-8,12275
195028,08,DODGE,DAKOTA,SXT CREW 2WD 4.,1D7HE38N-8,12475
179268,08,DODGE,DAKOTA,SLT EXT 2WD 3.7,1D7HE42K-8,11075
179278,08,DODGE,DAKOTA,SLT EXT 2WD 4.7,1D7HE42N-8,11275
179348,08,DODGE,DAKOTA,SLT CREW 2WD 3.,1D7HE48K-8,12575
179358,08,DODGE,DAKOTA,SLT CREW 2WD 4.,1D7HE48N-8,12775
179428,08,DODGE,DAKOTA,LAR EXT 2WD 3.7,1D7HE52K-8,12350
179438,08,DODGE,DAKOTA,LAR EXT 2WD 4.7,1D7HE52N-8,12550
179508,08,DODGE,DAKOTA,LAR CREW 2WD 3.,1D7HE58K-8,13850
179518,08,DODGE,DAKOTA,LAR CREW 2WD 4.,1D7HE58N-8,14075
211938,08,DODGE,DAKOTA,SPT EXT 2WD 3.7,1D7HE62K-8,11225
213358,08,DODGE,DAKOTA,SPORT EXT 2WD 4,1D7HE62N-8,11425
186618,08,DODGE,DAKOTA,SPT CREW 2WD,1D7HE68K-8,12725
186588,08,DODGE,DAKOTA,SPT CREW 2WD 4.,1D7HE68N-8,12925
194918,08,DODGE,DAKOTA,TRX EXT 2WD 3.7,1D7HE72K-8,11375
194928,08,DODGE,DAKOTA,TRX EXT 2WD 4.7,1D7HE72N-8,11550
183428,08,DODGE,DAKOTA,TRX CREW 2WD 3.,1D7HE78K-8,12850
193438,08,DODGE,DAKOTA,TRX CREW 2WD 4.,1D7HE78N-8,13075
179148,08,DODGE,DAKOTA,EXT 4WD 3.7L,1D7HW22K-8,11800
179158,08,DODGE,DAKOTA,EXT 4WD 4.7L,1D7HW22N-8,12000
179228,08,DODGE,DAKOTA,CREW 4WD 3.7L,1D7HW28K-8,13150
179238,08,DODGE,DAKOTA,CREW 4WD 4.7L,1D7HW28N-8,13550
194958,08,DODGE,DAKOTA,SXT EXT 4WD 3.7,1D7HW32K-8,12925
194968,08,DODGE,DAKOTA,SXT EXT 4WD 4.7,1D7HW32N-8,13150
195078,08,DODGE,DAKOTA,SXT CREW 4WD 3.,1D7HW38K-8,14650
195088,08,DODGE,DAKOTA,SXT CREW 4WD 4.,1D7HW38N-8,14975
179308,08,DODGE,DAKOTA,SLT EXT 4WD 3.7,1D7HW42K-8,13525
179318,08,DODGE,DAKOTA,SLT EXT 4WD 4.7,1D7HW42N-8,13750
179388,08,DODGE,DAKOTA,SLT CREW 4WD 3.,1D7HW48K-8,15325
179398,08,DODGE,DAKOTA,SLT CREW 4WD 4.,1D7HW48N-8,15550
179468,08,DODGE,DAKOTA,LAR EXT 4WD 3.7,1D7HW52K-8,14800
179478,08,DODGE,DAKOTA,LAR EXT 4WD 4.7,1D7HW52N-8,15050
179548,08,DODGE,DAKOTA,LAR CREW 4WD 3.,1D7HW58K-8,16625
179558,08,DODGE,DAKOTA,LAR CREW 4WD 4.,1D7HW58N-8,16875
214538,08,DODGE,DAKOTA,SPORT,1D7HW62K-8,13675
214528,08,DODGE,DAKOTA,SPORT,1D7HW62N-8,13900
186608,08,DODGE,DAKOTA,SPT CREW 4WD,1D7HW68K-8,15550
186598,08,DODGE,DAKOTA,SPT CREW 4WD 4.,1D7HW68N-8,15800
194998,08,DODGE,DAKOTA,TRX EXT 4WD 3.7,1D7HW72K-8,13825
195008,08,DODGE,DAKOTA,TRX EXT 4WD 4.7,1D7HW72N-8,14050
183438,08,DODGE,DAKOTA,TRX CREW 4WD 3.,1D7HW78K-8,15675
183448,08,DODGE,DAKOTA,TRX CREW 4WD 4.,1D7HW78N-8,15900
162127,07,DODGE,DAKOTA,CLUB 2WD 3.7 S/,1D3HE22K-7,8225
162137,07,DODGE,DAKOTA,CLUB 2WD 4.7 S/,1D3HE22N-7,8350
162147,07,DODGE,DAKOTA,CLUB 2WD FLEX S,1D3HE22P-7,8350
162247,07,DODGE,DAKOTA,QUAD 2WD 3.7 S/,1D3HE28K-7,9650
162257,07,DODGE,DAKOTA,QUAD 2WD 4.7 S/,1D3HE28N-7,9800
162267,07,DODGE,DAKOTA,QUAD 2WD FLEX S,1D3HE28P-7,9800
162367,07,DODGE,DAKOTA,SLT CLUB 2WD H/,1D3HE42J-7,9775
162377,07,DODGE,DAKOTA,SLT CLUB 2WD 3.,1D3HE42K-7,9625
162387,07,DODGE,DAKOTA,SLT CLUB 2WD 4.,1D3HE42N-7,9775
162397,07,DODGE,DAKOTA,SLT CLUB 2WD FL,1D3HE42P-7,9775
162527,07,DODGE,DAKOTA,SLT QUAD 2WD H/,1D3HE48J-7,11025
162537,07,DODGE,DAKOTA,SLT QUAD 2WD 3.,1D3HE48K-7,10875
162547,07,DODGE,DAKOTA,SLT QUAD 2WD 4.,1D3HE48N-7,11025
162557,07,DODGE,DAKOTA,SLT QUAD 2WD FL,1D3HE48P-7,11025
162687,07,DODGE,DAKOTA,LAR CLUB 2WD H/,1D3HE52J-7,10800
162697,07,DODGE,DAKOTA,LAR CLUB 2WD 3.,1D3HE52K-7,10625
162707,07,DODGE,DAKOTA,LAR CLUB 2WD 4.,1D3HE52N-7,10800
162717,07,DODGE,DAKOTA,LAR CLUB 2WD FL,1D3HE52P-7,10800
175047,07,DODGE,DAKOTA,LAR QUAD 2WD 4.,1D3HE58J-7,12025
175057,07,DODGE,DAKOTA,LAR QUAD 2WD 3.,1D3HE58K-7,11850
175067,07,DODGE,DAKOTA,LAR QUAD 2WD 4.,1D3HE58N-7,12025
175077,07,DODGE,DAKOTA,LAR QUAD 2WD FL,1D3HE58P-7,12025
162187,07,DODGE,DAKOTA,CLUB 4WD 3.7 S/,1D3HW22K-7,10450
162197,07,DODGE,DAKOTA,CLUB 4WD 4.7 S/,1D3HW22N-7,10600
162207,07,DODGE,DAKOTA,CLUB 4WD FLEX S,1D3HW22P-7,10600
162307,07,DODGE,DAKOTA,QUAD 4WD 3.7 S/,1D3HW28K-7,11850
162317,07,DODGE,DAKOTA,QUAD 4WD 4.7 S/,1D3HW28N-7,12025
162327,07,DODGE,DAKOTA,QUAD 4WD FLEX S,1D3HW28P-7,12025
162447,07,DODGE,DAKOTA,SLT CLUB 4WD H/,1D3HW42J-7,12000
162457,07,DODGE,DAKOTA,SLT CLUB 4WD 3.,1D3HW42K-7,11825
162467,07,DODGE,DAKOTA,SLT CLUB 4WD 4.,1D3HW42N-7,12000
162477,07,DODGE,DAKOTA,SLT CLUB 4WD FL,1D3HW42P-7,12000
162607,07,DODGE,DAKOTA,SLT QUAD 4WD H/,1D3HW48J-7,13225
162617,07,DODGE,DAKOTA,SLT QUAD 4WD 3.,1D3HW48K-7,13025
162627,07,DODGE,DAKOTA,SLT QUAD 4WD 4.,1D3HW48N-7,13225
162637,07,DODGE,DAKOTA,SLT QUAD 4WD FL,1D3HW48P-7,13225
162767,07,DODGE,DAKOTA,LAR CLUB 4WD H/,1D3HW52J-7,13000
162777,07,DODGE,DAKOTA,LAR CLUB 4WD 3.,1D3HW52K-7,12825
162787,07,DODGE,DAKOTA,LAR CLUB 4WD 4.,1D3HW52N-7,13000
162797,07,DODGE,DAKOTA,LAR CLUB 4WD FL,1D3HW52P-7,13000
162847,07,DODGE,DAKOTA,LAR QUAD 4WD H/,1D3HW58J-7,14525
162857,07,DODGE,DAKOTA,LAR QUAD 4WD 3.,1D3HW58K-7,14300
162867,07,DODGE,DAKOTA,LAR QUAD 4WD 4.,1D3HW58N-7,14525
162877,07,DODGE,DAKOTA,LAR QUAD 4WD FL,1D3HW58P-7,14525
162157,07,DODGE,DAKOTA,CLUB 2WD 3.7,1D7HE22K-7,8225
162167,07,DODGE,DAKOTA,CLUB 2WD 4.7,1D7HE22N-7,8350
162177,07,DODGE,DAKOTA,CLUB 2WD FLEX,1D7HE22P-7,8350
162277,07,DODGE,DAKOTA,QUAD 2WD 3.7,1D7HE28K-7,9650
162287,07,DODGE,DAKOTA,QUAD 2WD 4.7,1D7HE28N-7,9800
162297,07,DODGE,DAKOTA,QUAD 2WD FLEX,1D7HE28P-7,9800
162407,07,DODGE,DAKOTA,SLT CLUB 2WD H/,1D7HE42J-7,9775
162417,07,DODGE,DAKOTA,SLT CLUB 2WD 3.,1D7HE42K-7,9625
162427,07,DODGE,DAKOTA,SLT CLUB 2WD 4.,1D7HE42N-7,9775
162437,07,DODGE,DAKOTA,SLT CLUB 2WD FL,1D7HE42P-7,9775
162567,07,DODGE,DAKOTA,SLT QUAD 2WD H/,1D7HE48J-7,11025
162577,07,DODGE,DAKOTA,SLT QUAD 2WD 3.,1D7HE48K-7,10875
162587,07,DODGE,DAKOTA,SLT QUAD 2WD 4.,1D7HE48N-7,11025
162597,07,DODGE,DAKOTA,SLT QUAD 2WD FL,1D7HE48P-7,11025
162727,07,DODGE,DAKOTA,LAR CLUB 2WD H/,1D7HE52J-7,10800
162737,07,DODGE,DAKOTA,LAR CLUB 2WD 3.,1D7HE52K-7,10625
162747,07,DODGE,DAKOTA,LAR CLUB 2WD 4.,1D7HE52N-7,10800
162757,07,DODGE,DAKOTA,LAR CLUB 2WD FL,1D7HE52P-7,10800
175087,07,DODGE,DAKOTA,LAR QUAD 2WD 4.,1D7HE58J-7,12025
175097,07,DODGE,DAKOTA,LAR QUAD 2WD 3.,1D7HE58K-7,11850
175107,07,DODGE,DAKOTA,LAR QUAD 2WD 4.,1D7HE58N-7,12025
175117,07,DODGE,DAKOTA,LAR QUAD 2WD FL,1D7HE58P-7,12025
162217,07,DODGE,DAKOTA,CLUB 4WD 3.7,1D7HW22K-7,10425
162227,07,DODGE,DAKOTA,CLUB 4WD 4.7,1D7HW22N-7,10600
162237,07,DODGE,DAKOTA,CLUB 4WD FLEX,1D7HW22P-7,10600
162337,07,DODGE,DAKOTA,QUAD 4WD 3.7,1D7HW28K-7,11650
162347,07,DODGE,DAKOTA,QUAD 4WD 4.7,1D7HW28N-7,12025
162357,07,DODGE,DAKOTA,QUAD 4WD FLEX,1D7HW28P-7,12025
162487,07,DODGE,DAKOTA,SLT CLUB 4WD H/,1D7HW42J-7,12000
162497,07,DODGE,DAKOTA,SLT CLUB 4WD 3.,1D7HW42K-7,11825
162507,07,DODGE,DAKOTA,SLT CLUB 4WD 4.,1D7HW42N-7,12000
162517,07,DODGE,DAKOTA,SLT CLUB 4WD FL,1D7HW42P-7,12000
162647,07,DODGE,DAKOTA,SLT QUAD 4WD H/,1D7HW48J-7,13225
162657,07,DODGE,DAKOTA,SLT QUAD 4WD 3.,1D7HW48K-7,13025
162667,07,DODGE,DAKOTA,SLT QUAD 4WD 4.,1D7HW48N-7,13225
162677,07,DODGE,DAKOTA,SLT QUAD 4WD FL,1D7HW48P-7,13225
162807,07,DODGE,DAKOTA,LAR CLUB 4WD H/,1D7HW52J-7,13000
162817,07,DODGE,DAKOTA,LAR CLUB 4WD 3.,1D7HW52K-7,12825
162827,07,DODGE,DAKOTA,LAR CLUB 4WD 4.,1D7HW52N-7,13000
162837,07,DODGE,DAKOTA,LAR CLUB 4WD FL,1D7HW52P-7,13000
162887,07,DODGE,DAKOTA,LAR QUAD 4WD H/,1D7HW58J-7,14525
162897,07,DODGE,DAKOTA,LAR QUAD 4WD 3.,1D7HW58K-7,14300
162907,07,DODGE,DAKOTA,LAR QUAD 4WD 4.,1D7HW58N-7,14525
162917,07,DODGE,DAKOTA,LAR QUAD 4WD FL,1D7HW58P-7,14525
162786,06,DODGE,DAKOTA,CLUB 2WD 3.7,1D3GE22K-6,7025
162796,06,DODGE,DAKOTA,CLUB 2WD 4.7,1D3GE22N-6,7150
162886,06,DODGE,DAKOTA,SLT CLUB 2WD H/,1D3GE42J-6,8450
162896,06,DODGE,DAKOTA,SLT CLUB 2WD 3.,1D3GE42K-6,8450
162906,06,DODGE,DAKOTA,SLT CLUB 2WD 4.,1D3GE42N-6,8450
163066,06,DODGE,DAKOTA,LAR CLUB 2WD H/,1D3GE52J-6,9475
163076,06,DODGE,DAKOTA,LAR CLUB 2WD 3.,1D3GE52K-6,9475
163086,06,DODGE,DAKOTA,LAR CLUB 2WD 4.,1D3GE52N-6,9475
162846,06,DODGE,DAKOTA,CLUB 4WD 3.7,1D3GW22K-6,9025
162856,06,DODGE,DAKOTA,CLUB 4WD 4.7,1D3GW22N-6,9150
162976,06,DODGE,DAKOTA,SLT CLUB 4WD H/,1D3GW42J-6,10550
162986,06,DODGE,DAKOTA,SLT CLUB 4WD 3.,1D3GW42K-6,10550
162996,06,DODGE,DAKOTA,SLT CLUB 4WD 4.,1D3GW42N-6,10550
163156,06,DODGE,DAKOTA,LAR CLUB 4WD H/,1D3GW52J-6,11550
163166,06,DODGE,DAKOTA,LAR CLUB 4WD 3.,1D3GW52K-6,11550
163176,06,DODGE,DAKOTA,LAR CLUB 4WD 4.,1D3GW52N-6,11550
162806,06,DODGE,DAKOTA,CLUB 2WD 3.7,1D3HE22K-6,7025
162816,06,DODGE,DAKOTA,CLUB 2WD 4.7,1D3HE22N-6,7150
162916,06,DODGE,DAKOTA,SLT CLUB 2WD H/,1D3HE42J-6,8450
162926,06,DODGE,DAKOTA,SLT CLUB 2WD 3.,1D3HE42K-6,8450
162936,06,DODGE,DAKOTA,SLT CLUB 2WD 4.,1D3HE42N-6,8450
163096,06,DODGE,DAKOTA,LAR CLUB 2WD H/,1D3HE52J-6,9475
163106,06,DODGE,DAKOTA,LAR CLUB 2WD 3.,1D3HE52K-6,9475
163116,06,DODGE,DAKOTA,LAR CLUB 2WD 4.,1D3HE52N-6,9475
159946,06,DODGE,DAKOTA,CLUB ST 4WD 3.7,1D3HW22K-6,9025
159956,06,DODGE,DAKOTA,CLUB ST 4WD 4.7,1D3HW22N-6,9150
163006,06,DODGE,DAKOTA,SLT CLUB 4WD H/,1D3HW42J-6,10550
163016,06,DODGE,DAKOTA,SLT CLUB 4WD 3.,1D3HW42K-6,10550
163026,06,DODGE,DAKOTA,SLT CLUB 4WD 4.,1D3HW42N-6,10550
163186,06,DODGE,DAKOTA,LAR CLUB 4WD H/,1D3HW52J-6,11550
163196,06,DODGE,DAKOTA,LAR CLUB 4WD 3.,1D3HW52K-6,11550
163206,06,DODGE,DAKOTA,LAR CLUB 4WD 4.,1D3HW52N-6,11550
192376,06,DODGE,DAKOTA,ST,1D5GE22K-6,7150
192366,06,DODGE,DAKOTA,ST,1D5GE22N-6,7150
192226,06,DODGE,DAKOTA,SLT,1D5GE42J-6,8450
192246,06,DODGE,DAKOTA,SLT,1D5GE42K-6,8450
192266,06,DODGE,DAKOTA,SLT,1D5GE42N-6,8450
192426,06,DODGE,DAKOTA,LARAMIE,1D5GE52J-6,9475
192446,06,DODGE,DAKOTA,LARAMIE,1D5GE52K-6,9475
192456,06,DODGE,DAKOTA,LARAMIE,1D5GE52N-6,9475
192416,06,DODGE,DAKOTA,ST,1D5GW22K-6,9150
192386,06,DODGE,DAKOTA,ST,1D5GW22N-6,9150
192286,06,DODGE,DAKOTA,SLT,1D5GW42J-6,10550
192306,06,DODGE,DAKOTA,SLT,1D5GW42K-6,10550
192296,06,DODGE,DAKOTA,SLT,1D5GW42N-6,10550
192476,06,DODGE,DAKOTA,LARAMIE,1D5GW52J-6,11550
192496,06,DODGE,DAKOTA,LARAMIE,1D5GW52K-6,11550
192506,06,DODGE,DAKOTA,LARAMIE,1D5GW52N-6,11550
192346,06,DODGE,DAKOTA,ST,1D5HE22K-6,7150
192356,06,DODGE,DAKOTA,ST,1D5HE22N-6,7150
192236,06,DODGE,DAKOTA,SLT,1D5HE42J-6,8450
192276,06,DODGE,DAKOTA,SLT,1D5HE42K-6,8450
192256,06,DODGE,DAKOTA,SLT,1D5HE42N-6,8450
192466,06,DODGE,DAKOTA,LARAMIE,1D5HE52J-6,9475
192436,06,DODGE,DAKOTA,LARAMIE,1D5HE52K-6,9475
170446,06,DODGE,DAKOTA,LAR CLUB 2WD 4.,1D5HE52N-6,9475
192406,06,DODGE,DAKOTA,ST,1D5HW22K-6,9150
